단어	추천 문제 형태
사과	"“아들들 사이에 있는 내 소중한 이는 숲의 나무들 사이에 있는 OO나무 같답니다. 내가 그이의 그늘에 앉기를 간절히 사모하니, 그이의 열매는 내 입에 달콤하답니다"
사슴	"당신의 하느님 여호와께서 당신에게 주신 축복에 따라, 당신의 모든 도시 안에서 당신이 원할 때는 언제든 짐승을 잡아 고기를 먹을 수 있습니다. 부정한 자든 정결한 자든, 가젤이나 OO을 먹는 것처럼 그 고기를 먹을 수 있습니다"
산호	"OO와 수정은 말할 것도 없으니, 지혜 한 자루가 진주 한 자루보다 더 가치 있기 때문이네"
상아	"또 왕은 큰 OO 왕좌를 만들고 그것을 정련된 금으로 입혔다"
상인	"아브라함은 에프론의 말을 듣고, 헷 자손들이 듣는 데서 에프론이 말한 양의 은 곧 은 400세겔을 OO들 사이에서 통용되는 무게로 그에게 달아 주었다"
새김	"굽이 갈라지고 굽에 틈이 있으며 OOOO하는 동물은 모두 먹을 수 있다." (되새김질 형태)
샌들	"하지만 아브람이 소돔 왕에게 말했다. “하늘과 땅을 만드신 가장 높으신 하느님 여호와께 내가 손을 들어 맹세하는데, 23 실오라기 하나에서 OO 끈 하나까지 당신의 것은 아무것도 가지지 않을 것입니다. 당신이 ‘내가 아브람을 부자로 만들었다’고 말하지 못하게 하려는 것입니다" (신발 형태)
석류	"그 옷단 둘레에는 청색 실과 자주색 양모와 진홍색 실로 OO를 만들어 달고, 그것들 사이사이에 금종을 만들어 달아야 한다"
수레	"그래서 파라오가 요셉에게 말했다. “그대의 형제들에게 말하시오. ‘이렇게 하십시오. 여러분의 짐승에 짐을 싣고 가나안 땅으로 가서 18 여러분의 아버지와 집안사람들을 데리고 여기 내게로 오십시오. 내가 여러분에게 이집트 땅의 좋은 것을 줄 것이며, 여러분은 이 땅의 가장 기름진 것을 먹을 것입니다.’ 19 그리고 내가 명령하는 대로 그들에게 이렇게 말하시오. ‘이렇게 하십시오. 여러분의 자녀들과 아내들을 위해 이집트 땅에서 OO들을 끌고 가십시오. 그리고 여러분의 아버지를 OO에 태우고 이곳으로 오십시오"
자루	"그러면서 야곱이 자기 옷을 찢고 OO천을 허리에 두르고 자기 아들을 위해 여러 날 동안 슬퍼했다"
자수	"그분은 그들에게 기술을 채워 주셔서 장인, OOO, 청색 실과 자주색 양모와 진홍색 실과 고운 아마실로 천 짜는 사람, 직조공이 하는 모든 일을 하게 하셨습니다." (자수공 형태)
작살	"“너는 낚시로 리워야단을 잡거나 줄로 그 혀를 붙잡아 맬 수 있느냐? 2 줄로 그 콧구멍을 꿰거나 갈고리로 그 턱을 뚫을 수 있느냐? 3 그것이 네게 빌고 또 빌거나 부드럽게 말하겠느냐? 4 그것이 너와 계약을 맺어 평생 너의 종이 되겠느냐? 5 네가 새와 놀듯 그것과 함께 놀거나 너의 소녀들을 위해 그것을 끈에 매어 두겠느냐? 6 상인들이 그것을 놓고 흥정하며 장사꾼들 사이에서 그것을 나누겠느냐? 7 네가 그 가죽을 창으로, 그 머리를 물고기 OO로 온통 찌르겠느냐? 8 네 손을 그 위에 얹어 보아라. 너는 그것과 싸운 일을 잊지 못하게 되어 다시는 그렇게 하지 않을 것이다! 9 그것을 제압할 수 있다는 희망은 헛되다. 너는 그것을 보기만 해도 겁에 질릴 것이다"
장터	"이 세대를 누구에 비하겠습니까? 마치 OO에 앉아 친구들에게 이렇게 외치는 아이들과 같습니다"
전갈	"그분은 독사와 OO이 있고 물 없이 메마른 땅, 크고 두려운 광야를 당신이 걸어서 지나가게 하셨습니다"
종이	"내가 여러분에게 쓸 것이 많지만 OO와 잉크로 쓰고 싶지 않습니다. 그보다는 여러분에게 가서 얼굴을 마주하고 말할 수 있기를 바랍니다."
주석	"‘금, 은, 구리, 철, OO, 납 등 23 불로 처리할 수 있는 것은 모두 불을 지나가게 해야 정결해집니다. 또한 정결하게 하는 물로도 그것을 정결하게 해야 합니다. 불로 처리할 수 없는 것은 모두 물을 지나가게 해야 합니다"
진주	"그곳에는 아마포와 고운 무명과 청색 천이 고운 직물과 자주색 양모로 짠 줄로 대리석 기둥의 은고리에 매여 있었으며, 금과 은으로 된 침상들이 반암과 대리석과 OO와 검은 대리석이 깔린 바닥에 놓여 있었다"
진흙	"그들은 이스라엘 사람들에게 OO 모르타르와 벽돌을 만드는 일과 들에서 하는 온갖 노역을 시켜, 힘든 노동으로 그들의 삶을 괴롭게 만들었다. 그처럼 온갖 노역으로 그들을 열악한 환경에서 고생하게 했다"
차꼬	"당신은 제 발에 OO를 채우시고 저의 모든 길을 낱낱이 살피시며 제 발자국 하나하나를 추적하십니다"
창고	"기근이 온 땅에 계속되었다. 그때에 요셉이 사람들 가운데 있는 모든 곡물 OO를 열어 이집트인들에게 팔기 시작했다. 이집트 땅에 기근이 몹시 심했던 것이다"
창병	"그는 두 장교를 불러 말했다. “밤 제3시에 카이사레아로 떠날 수 있도록 군인 200명과 기병 70명과 OO 200명을 준비시키시오"
창자	"그러고 나서 OO를 덮고 있는 모든 기름, 간에 붙어 있는 것, 두 콩팥과 거기에 있는 기름을 가져다가 제단에서 불살라 연기를 올려라"
채찍	"만일 여러분이 돌아서서 아직 여러분 곁에 남아 있는 이 나머지 민족들을 가까이하고, 그들과 통혼하여 그들과 어울리고 그들도 여러분과 어울리면, 13 여러분의 하느님 여호와께서 다시는 여러분을 위해 이 민족들을 쫓아내지 않으실 것임을 분명히 알아 두어야 합니다. 그들이 덫과 올무가 되고 옆구리에 OO이 되며 눈에 가시가 되어, 마침내 여러분은 여러분의 하느님 여호와께서 주신 이 좋은 땅에서 멸망하고 말 것입니다"
천둥	"그래서 모세가 하늘을 향해 지팡이를 내밀자 여호와께서 OO과 우박을 보내셨으며, 불이 땅으로 떨어졌다. 여호와께서 이집트 땅 위에 계속 우박을 내리셨다"
천막	"아다는 야발을 낳았다. 그는 OO에 살면서 가축을 치는 사람들의 시조가 되었다"
침대	"그러면 나일 강에 개구리들이 우글거리고, 그것들이 올라와서 네 집과 침실로, OO 위로, 신하들의 집으로, 백성에게로, 화덕과 반죽통으로 들어갈 것이다"
타작	"그들은 요르단 지방에 있는 아닷의 OO마당에 이르러 그곳에서 몹시 슬퍼하고 애도했으며, 그는 자기 아버지를 위해 7일 동안 애도했다"
팔찌	"라반은 코걸이와 누이의 손에 있는 OO들을 보고, 또 “그 사람이 내게 이렇게 말했습니다”라고 한 누이 리브가의 말을 듣고 그 사람을 만나러 간 것이다. 그 사람은 그때까지 샘에서 낙타들 곁에 서 있었다"
표범	"레바논을 떠나 나와 함께 갑시다, 나의 신부여. 레바논을 떠나 나와 함께 갑시다. 아마나의 꼭대기에서, 스닐의 꼭대기, 헤르몬의 꼭대기에서, 사자의 거처에서, OO의 산에서 내려와 주오"
화덕	"그러면 나일 강에 개구리들이 우글거리고, 그것들이 올라와서 네 집과 침실로, 침대 위로, 신하들의 집으로, 백성에게로, OO과 반죽통으로 들어갈 것이다"
화로	"그것들의 사체가 어떤 것에든 떨어지면 그것은 부정해진다. 화덕이든 작은 OO든 부수어야 한다. 그것들은 부정한 것으로, 너희에게 계속 부정하다"
힘줄	"그 때문에 이스라엘 자손은 오늘날까지 엉덩이뼈 관절에 있는 넓적다리 OO을 먹지 않는 관습이 있다. 그 사람이 야곱의 엉덩이뼈 관절에 있는 넓적다리 OO을 건드렸기 때문이다."
