단어	정의
비단	누에 고치에서 뽑은 섬유로 만든 아름답고 가벼운 고급 천
사과	히브리어 탑푸아흐가 가리키는 향기로운 열매로 정확한 식물은 불확실함
사슴	팔레스타인에 서식했던 정한 동물로 분류된 뿔 달린 포유류 짐승
산호	따뜻한 바닷물의 폴립이 만드는 석회질 퇴적물로 아름다운 가지를 친 보석
상아	코끼리 등 동물의 엄니로 단단하고 조각이 쉬워 귀한 장식 재료로 쓰임
상인	이윤을 얻기 위해 사고팔거나 물물 교환하는 장사꾼
새김	나무나 금속 돌에 도안이나 글자를 새겨 넣는 기술
샌들	가죽이나 나무로 된 납작한 바닥에 끈으로 발을 고정시킨 신발
석류	적갈색 사과 모양의 열매로 과즙이 풍부하고 씨가 많이 든 과일
수레	고대의 나무로 만든 운송 수단으로 바퀴가 달린 짐바리
자루	곡식이나 식량 귀중품을 담는 가죽이나 천으로 만든 주머니
자수	바늘로 천이나 가죽에 실로 무늬를 놓는 고대 장식 기술
자칼	여우와 비슷한 들개로 폐허와 황무지를 상징하는 데 자주 쓰이는 동물
작살	큰 물고기를 찌르는 날카로운 촉이 달린 창 모양의 도구
장터	고대 도시에서 물건을 사고팔고 공공 집회가 열리던 광장
전갈	거미류에 속한 작은 절지동물로 꼬리에 독침을 가진 위험한 생물
종이	파피루스 식물을 얇게 잘라 만든 고대의 필기 도구
주석	녹는점이 낮은 푸른빛 흰색 금속으로 정련 과정에서 분리되는 찌꺼기
진주	조개体内에 형성된 구형의 보석으로 가치가 높아 비유에 쓰임
진흙	젖었을 때 모양을 바꿀 수 있고 말리면 단단해지는 미세한 흙
차꼬	수형자의 양발을 나무 형틀에 채우는 고대의 형구
창고	곡식과 포도주 기름 귀금속을 비축해 두는 저장 시설
창병	창으로 무장한 군인으로 로마 점령군의 일부였던 보병
창자	사람이나 동물의 내장이나 속을 가리키는 히브리어 케레브의 번역
채찍	가죽 끈으로 된 노끈 형태의 도구로 사람이나 동물을 다루는 데 쓰임
천둥	번개 방전 후 가열된 공기의 팽창으로 발생하는 큰 소리
천막	천이나 가죽으로 만들어 이동하며 거주할 수 있게 한 집
침대	잠자는 자리로 부와 신분에 따라 종류와 구조가 달랐던 가구
타작	곡식을 줄기와 겨에서 떼어내는 작업으로 도리깨나 썰매로 수행함
팔찌	팔목이나 팔뚝에 차는 장식용 고리로 고대에 남녀 모두가 찼음
표범	연한 황갈색에 검은 점이 있는 대형 고양잇과 동물로 팔레스타인에 서식
해면	수생 동물의 골격으로 수분 흡수력이 좋고 질기며 탄력성이 있음
화덕	빵을 굽거나 식품을 익히기 위해 가열하는 아궁이처럼 만든 도구
화로	숯불을 담아 난방에 쓰는 다리가 달린 냄비 모양의 기구
횃불	손으로 들고 다니는 불로 수지 함유 나무나 기름 적신 물질에 불을 붙인 것
힘줄	근육의 기초가 되는 희고 질긴 살의 줄
